lons,lats,locking_depth,dip
26.820301,40.580699,15.0,90.0
26.885275,40.605383,15.0,90.0
26.918507,40.621686,15.0,90.0
26.979318,40.642516,15.0,90.0
27.026402,40.660697,15.0,90.0
27.083176,40.677747,15.0,90.0
27.129169,40.698313,15.0,90.0
27.205724,40.725096,15.0,90.0
27.341412,40.76776,15.0,90.0
27.46056,40.81294,15.0,90.0
27.493511,40.831786,15.0,90.0
27.5281,40.842748,15.0,90.0
27.579118,40.836836,15.0,90.0
27.606498,40.817125,15.0,90.0
27.679468,40.819217,15.0,90.0
27.752437,40.835393,15.0,90.0
27.788795,40.822121,15.0,90.0
27.956511,40.826889,15.0,90.0
27.977527,40.80958,15.0,90.0
28.003274,40.804204,15.0,90.0
28.465368,40.851582,15.0,90.0
28.485544,40.854949,15.0,90.0
28.498877,40.856159,15.0,90.0
28.508026,40.853335,15.0,90.0
28.515273,40.849505,15.0,90.0
28.91164,40.868317,15.0,90.0
28.926758,40.868801,15.0,90.0
28.935542,40.869195,15.0,90.0
28.940158,40.866775,15.0,90.0
28.945094,40.862658,15.0,90.0
28.956763,40.859323,15.0,90.0
28.996937,40.839815,15.0,90.0
29.042492,40.825394,15.0,90.0
29.082829,40.806134,15.0,90.0
29.12822,40.791464,15.0,90.0
29.167547,40.772586,15.0,90.0
29.213949,40.757535,15.0,90.0
29.275508,40.729084,15.0,90.0
29.299677,40.723605,15.0,90.0
29.323171,40.720736,15.0,90.0
29.350201,40.721313,15.0,90.0
29.465125,40.72285,15.0,90.0
29.583081,40.717494,15.0,90.0
29.699521,40.712904,15.0,90.0
29.815961,40.713675,15.0,90.0
29.830428,40.712707,15.0,90.0
29.858663,40.709679,15.0,90.0
29.877516,40.710565,15.0,90.0
29.898826,40.708554,15.0,90.0
29.920136,40.707195,15.0,90.0
29.964674,40.704086,15.0,90.0
29.994801,40.704573,15.0,90.0
30.024675,40.702659,15.0,90.0
30.055589,40.697138,15.0,90.0
30.10149,40.692678,15.0,90.0
30.170378,40.682646,15.0,90.0
30.195773,40.682583,15.0,90.0
30.223111,40.677092,15.0,90.0
30.275365,40.671969,15.0,90.0
30.294521,40.666759,15.0,90.0
30.35155,40.659571,15.0,90.0
30.37898,40.657778,15.0,90.0
30.411132,40.650553,15.0,90.0
30.446102,40.644991,15.0,90.0
30.471415,40.637063,15.0,90.0
30.491717,40.63547,15.0,90.0
30.512826,40.626398,15.0,90.0
30.54906,40.615548,15.0,90.0
30.573914,40.609667,15.0,90.0
30.616509,40.594122,15.0,90.0
30.64925,40.587786,15.0,90.0
30.677701,40.580313,15.0,90.0
30.707843,40.576013,15.0,90.0
30.733082,40.569809,15.0,90.0
30.751332,40.570871,15.0,90.0
30.780285,40.565532,15.0,90.0
30.817626,40.566936,15.0,90.0
30.838842,40.56947,15.0,90.0
30.865346,40.571918,15.0,90.0
30.896903,40.57275,15.0,90.0
30.91722,40.576667,15.0,90.0
30.929028,40.577555,15.0,90.0
30.961153,40.58236,15.0,90.0
30.977496,40.584792,15.0,90.0
30.994228,40.588352,15.0,90.0
31.029461,40.589115,15.0,90.0
31.043263,40.588954,15.0,90.0
31.057063,40.587572,15.0,90.0
31.068499,40.587822,15.0,90.0
31.099824,40.583236,15.0,90.0
31.107392,40.580578,15.0,90.0
31.127075,40.581688,15.0,90.0
31.148427,40.58627,15.0,90.0
31.175821,40.588634,15.0,90.0
31.222776,40.593132,15.0,90.0
31.237732,40.593304,15.0,90.0
31.253081,40.595568,15.0,90.0
31.283884,40.604673,15.0,90.0
31.305779,40.613708,15.0,90.0
31.325529,40.620158,15.0,90.0
31.347499,40.629575,15.0,90.0
31.353743,40.633379,15.0,90.0
31.372358,40.632324,15.0,90.0
31.395269,40.633454,15.0,90.0
31.423019,40.634874,15.0,90.0
31.428364,40.634983,15.0,90.0
31.462262,40.638427,15.0,90.0
31.492367,40.638,15.0,90.0
31.520888,40.646767,15.0,90.0
31.563971,40.653588,15.0,90.0
31.58216,40.655175,15.0,90.0
31.629034,40.664787,15.0,90.0
31.644759,40.666734,15.0,90.0
31.695359,40.682004,15.0,90.0
31.726884,40.693189,15.0,90.0
31.744841,40.698434,15.0,90.0
31.797108,40.708999,15.0,90.0
31.817501,40.715648,15.0,90.0
31.835077,40.719999,15.0,90.0
31.857613,40.723967,15.0,90.0
31.879974,40.729925,15.0,90.0
31.894923,40.736068,15.0,90.0
31.930801,40.741216,15.0,90.0
31.95628,40.749034,15.0,90.0
32.02703,40.76229,15.0,90.0
32.05023,40.764329,15.0,90.0
32.083108,40.772217,15.0,90.0
32.164679,40.783866,15.0,90.0
32.179784,40.793109,15.0,90.0
32.188523,40.796258,15.0,90.0
32.218618,40.800229,15.0,90.0
32.307857,40.815742,15.0,90.0
32.359256,40.821089,15.0,90.0
32.38934,40.826353,15.0,90.0
32.424808,40.830033,15.0,90.0
32.501128,40.841239,15.0,90.0
32.531405,40.845204,15.0,90.0
32.662783,40.868852,15.0,90.0
32.689238,40.876106,15.0,90.0
32.723039,40.882306,15.0,90.0
32.770017,40.888046,15.0,90.0
32.800921,40.890482,15.0,90.0
32.86457,40.905829,15.0,90.0
33.079034,40.939926,15.0,90.0
33.109276,40.947597,15.0,90.0
33.197993,40.960467,15.0,90.0
33.214898,40.958887,15.0,90.0
33.297659,40.970536,15.0,90.0
33.344907,40.971777,15.0,90.0
33.362968,40.975148,15.0,90.0
33.380421,40.982184,15.0,90.0
33.444799,40.996763,15.0,90.0
33.481292,41.005085,15.0,90.0
33.513703,41.000413,15.0,90.0
33.535659,41.014376,15.0,90.0
33.558547,41.018623,15.0,90.0
33.587245,41.021924,15.0,90.0
33.621574,41.029513,15.0,90.0
33.657718,41.036419,15.0,90.0
33.707042,41.043421,15.0,90.0
