name,lon1,lat1,lon2,lat2,lDep,lDepSig,lDepTog,dip,dipSig,dipTog,ssRate,ssRateSig,ssRateTog,dsRate,dsRateSig,dsRateTog,tsRate,tsRateSig,tsRateTog,bDep,bDepSig,bDepTog,res,resOver,resOther,other1,other2,other3,other4,other5,other6,other7,other8,other9,other10,other11,other12,patchName,patchFlag01,patchFlag02,
"10a                                                                 ",27.124,39.861,27.414,39.939,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,0,5,0,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"11a                                                                 ",28.839,40.152,28.552,40.131,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"11ba                                                                ",28.839,40.152,29.03,40.171,15,5,0,90,1,0,-1,1,0,0,1,0,0,1,1,0,5,0,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"11bb                                                                ",29.03,40.171,29.342,40.194,15,5,0,90,1,0,-1,1,0,0,1,0,0,1,1,0,5,0,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"12                                                                  ",29.342,40.194,29.686,40.389,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,0,5,0,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"121AD                                                               ",29.686,40.389,30.23,40.487,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"13b                                                                 ",30.23,40.487,30.767,40.555,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,0,5,0,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1509                                                                ",28.017,40.809,28.559,40.869,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1509                                                                ",28.559,40.869,28.875,40.88,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1556                                                                ",27.717,40.264,27.911,40.356,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1737                                                                ",27.492,40.164,27.717,40.264,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1737                                                                ",27.341,40.107,27.492,40.164,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1766e                                                               ",28.875,40.88,29.31,40.717,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1855                                                                ",27.911,40.101,28.269,40.122,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1855                                                                ",28.269,40.122,28.552,40.131,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1894                                                                ",29.31,40.717,29.514,40.714,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1894                                                                ",29.514,40.714,30.039,40.689,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1894                                                                ",30.039,40.689,30.147,40.683,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1943                                                                ",34.147,41.097,35.374,41.086,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1943                                                                ",35.374,41.086,36.285,40.817,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1943                                                                ",33.153,40.952,34.147,41.097,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1944                                                                ",31.532,40.67,32.339,40.815,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1944                                                                ",32.339,40.815,32.704,40.883,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1949                                                                ",40.563,39.42,41.07,39.352,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1951                                                                ",32.704,40.883,33.153,40.952,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1953                                                                ",27.414,39.939,27.738,40.085,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1953                                                                ",27.738,40.085,27.911,40.101,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1957                                                                ",31.185,40.588,31.532,40.67,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1967                                                                ",30.476,40.632,30.767,40.555,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1967                                                                ",30.767,40.555,30.907,40.567,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1967                                                                ",30.907,40.567,31.185,40.588,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1967                                                                ",30.147,40.683,30.311,40.657,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"1967                                                                ",30.311,40.657,30.476,40.632,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"Reilinger_2006_33                                                   ",24.7,40.139,26.167,40.414,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,0,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"Reilinger_2006_41                                                   ",25.612,42.625,28.17,42.689,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,0,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"Reilinger_2006_43                                                   ",26.167,40.414,27.489,40.795,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,0,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"Reilinger_2006_50                                                   ",27.489,40.795,28.017,40.809,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"Reilinger_2006_57                                                   ",28.17,42.689,33.729,42.975,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,0,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"Reilinger_2006_84                                                   ",33.729,42.975,36.259,43.333,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,0,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"Reilinger_2006_95                                                   ",36.259,43.333,39.909,43.294,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,0,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"asdf                                                                ",24.7,40.139,25.612,42.625,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"asdf                                                                ",24.7,40.139,25.448,39.351,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"asdf                                                                ",36.285,40.817,40.563,39.42,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
"asdf                                                                ",39.909,43.294,41.07,39.352,15,5,0,90,1,0,0,1,0,0,1,0,0,1,0,15,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",0,0,
