other1,other2,other3,other4,other5,other6,name,interior_lon,interior_lat,euler_lon,euler_lon_sig,euler_lat,euler_lat_sig,rotation_rate,rotation_rate_sig,rotation_flag,apriori_flag,strain_rate,strain_rate_sig,strain_rate_flag
0,0,0,0,0,0,starter,35.094516,39.222115,65.697000,2.710000,-49.701000,2.084000,0.222,0.013,0,0,0,0,0
0,0,0,0,0,0,outer,27.290039,41.966959,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",19.514678,40.614430,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",22.283232,39.741470,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",41.751006,45.244396,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",33.796904,32.769330,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",42.454131,30.978149,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",39.619658,39.045275,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",25.776885,39.943919,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",28.325713,40.246472,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",31.819365,39.589242,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",36.631377,38.307674,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",29.292510,38.720296,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",26.853545,38.255930,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",24.106963,38.703150,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",20.635283,37.823299,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",21.711943,36.651297,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",24.656279,36.827378,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",27.358916,35.675659,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",31.951201,36.792195,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",30.215361,36.633667,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",35.994170,34.958511,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",21.008818,38.668847,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",35.027489,37.025394,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",40.700093,39.838467,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",40.548344,39.067456,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",35.521153,40.606966,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",27.899800,38.237763,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",29.248118,37.461591,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",28.350023,37.604317,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",28.982790,37.853619,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",26.003480,39.208286,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",28.816479,39.747056,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",26.866224,39.895859,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",34.009251,37.571046,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
0,0,0,0,0,0,"New Block",27.565861,40.629210,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0
