name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,
"10a                                                                 ",27.124,39.861,27.414,39.939,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,5,0,0,0,0,0,
"11a                                                                 ",28.839,40.152,28.552,40.131,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"11ba                                                                ",28.839,40.152,29.03,40.171,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,-1,1,0,0,1,0,0,1,1,0,5,0,5,0,0,0,0,0,
"11bb                                                                ",29.03,40.171,29.342,40.194,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,-1,1,0,0,1,0,0,1,1,0,5,0,5,0,0,0,0,0,
"12                                                                  ",29.342,40.194,29.686,40.389,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,5,0,0,0,0,0,
"121AD                                                               ",29.686,40.389,30.23,40.487,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"13b                                                                 ",30.23,40.487,30.767,40.555,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,5,0,0,0,0,0,
"1509                                                                ",28.017,40.809,28.559,40.869,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"1509                                                                ",28.559,40.869,28.875,40.88,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"1556                                                                ",27.717,40.264,27.911,40.356,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
