name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,create_ribbon_mesh,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag
10,27.124000,39.865264,27.160065,39.871390,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,5,0,0,0,0,0
11,28.768172,40.155008,28.559870,40.086860,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
11,28.768172,40.155008,29.030000,40.171000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,-1,1,0,0,1,0,0,1,1,0,5,0,5,0,0,0,0,0
11,29.030000,40.171000,29.342000,40.194000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,-1,1,0,0,1,0,0,1,1,0,5,0,5,0,0,0,0,0
12,29.342000,40.194000,29.679085,40.387361,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,5,0,0,0,0,0
121,29.679085,40.387361,29.702346,40.395065,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
13,30.271075,40.482428,30.292706,40.490499,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,5,0,0,0,0,0
1509,28.003274,40.804204,28.465368,40.851582,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1509,28.935542,40.869195,28.940158,40.866775,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1556,27.729180,40.244126,27.911000,40.356000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
1737,27.519893,40.184558,27.556923,40.194642,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
1737,27.339399,40.112816,27.386489,40.138269,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
1766,29.299677,40.723605,29.323171,40.720736,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1855,27.991016,40.089907,28.171291,40.056995,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
1855,28.241456,40.058781,28.559870,40.086860,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
1894,30.024675,40.702659,30.055589,40.697138,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1939,38.529616,40.055857,38.601125,40.040066,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1939,38.119475,40.178628,38.209678,40.148737,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1939,37.786901,40.287879,37.803237,40.282736,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1939,36.959234,40.478751,37.027691,40.463367,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1939,36.730753,40.580556,36.745833,40.574587,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1939,39.267349,39.871929,39.376342,39.831867,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1939,39.636963,39.721717,39.748924,39.666083,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1942,36.730753,40.580556,36.717265,40.586166,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1943,33.109679,40.947467,33.132041,40.950824,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1944,31.355789,40.633017,31.372234,40.632393,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1944,32.307344,40.815576,32.331554,40.818634,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1949,40.565473,39.416918,40.604149,39.394510,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1951,32.689428,40.876097,32.722138,40.882306,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1953,27.368241,39.933451,27.463714,39.977481,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
1953,27.845801,40.120447,27.991016,40.089907,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
1957,31.176314,40.588174,31.186702,40.588955,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1966,41.058055,39.357462,41.091129,39.350315,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1966,41.175206,39.324376,41.550000,39.113000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
1967,30.491717,40.635470,30.512826,40.626398,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1967,30.780285,40.565532,30.817626,40.566936,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1967,30.896903,40.572750,30.917220,40.576667,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1967,30.170378,40.682646,30.195773,40.682583,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
1967,30.351550,40.659571,30.378980,40.657778,90,100,0,0,0,0,0,0,0,1,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,1,0,0
