,Unnamed: 0,name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,centroid_lon,centroid_lat
0,0,10a                                                                 ,27.124,39.861,27.414,39.939,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,5,0,-1,0,0,0,27.269,39.9
1,1,11a                                                                 ,28.839,40.152,28.552,40.131,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,28.6955,40.1415
2,2,11ba                                                                ,28.839,40.152,29.03,40.171,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,-1.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0,0,0,5,0,-1,0,0,0,28.9345,40.161500000000004
3,3,11bb                                                                ,29.03,40.171,29.342,40.194,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,-1.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0,0,0,5,0,-1,0,0,0,29.186,40.182500000000005
4,4,12                                                                  ,29.342,40.194,29.686,40.389,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,5,0,-1,0,0,0,29.514,40.2915
5,5,121AD                                                               ,29.686,40.389,30.23,40.487,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,29.958,40.438
6,6,13b                                                                 ,30.23,40.487,30.767,40.555,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,5,0,-1,0,0,0,30.4985,40.521
7,7,1509                                                                ,28.017,40.809,28.559,40.869,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,28.288,40.839
8,8,1509                                                                ,28.559,40.869,28.875,40.88,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,28.717,40.8745
9,9,1556                                                                ,27.717,40.264,27.911,40.356,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,27.814,40.31
10,10,1737                                                                ,27.492,40.164,27.717,40.264,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,27.6045,40.214
11,11,1737                                                                ,27.341,40.107,27.492,40.164,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,27.4165,40.1355
12,12,1766e                                                               ,28.875,40.88,29.31,40.717,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,29.0925,40.798500000000004
13,13,1855                                                                ,27.911,40.101,28.269,40.122,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,28.09,40.1115
14,14,1855                                                                ,28.269,40.122,28.552,40.131,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,28.4105,40.1265
15,15,1894                                                                ,29.31,40.717,29.514,40.714,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,29.412,40.7155
16,16,1894                                                                ,29.514,40.714,30.039,40.689,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,29.7765,40.701499999999996
17,17,1894                                                                ,30.039,40.689,30.147,40.683,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,30.093,40.686
