name,lon1,lat1,lon2,lat2,dip,create_ribbon_mesh,locking_depth,locking_depth_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,mesh_file_index,mesh_flag,ss_rate_bound_flag,ss_rate_bound_min,ss_rate_bound_max,ds_rate_bound_flag,ds_rate_bound_min,ds_rate_bound_max,ts_rate_bound_flag,ts_rate_bound_min,ts_rate_bound_max
2,140.401000,42.526000,140.272000,42.795000,45,0,15,0,0,1,0,1,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
2,140.272000,42.795000,140.076000,43.273000,45,0,15,0,0,1,0,1,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aleun,197.495000,53.352000,204.236000,54.617000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
alu_1,164.025000,55.235000,171.720000,52.086000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
alu_2a,171.720000,52.086000,177.518000,50.703000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
alu_2b,177.518000,50.703000,179.415000,50.516000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
alu_3a,179.415000,50.516000,182.605000,50.462000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
alu_3b,182.605000,50.462000,189.276000,51.312000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
alu_4,189.276000,51.312000,197.495000,53.352000,90,0,0,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
amur-okh,142.376000,54.096000,139.850000,54.025000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
amur1,139.850000,54.025000,124.863000,57.131000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
amur10a,117.645000,39.763000,120.971000,41.129000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
amur10b,120.971000,41.129000,122.696000,42.178000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
amur11,122.696000,42.178000,125.037000,40.144000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
amur12a,125.037000,40.144000,126.022000,36.840000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
amur12b,126.022000,36.840000,126.265000,34.247000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
amur2,124.863000,57.131000,119.500000,57.362000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
amur3,119.500000,57.362000,110.287000,56.096000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
amur4a,110.287000,56.096000,108.912000,54.830000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
amur4b,108.912000,54.830000,108.362000,53.220000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
amur5,108.362000,53.220000,104.513000,51.609000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
amur6,104.513000,51.609000,107.125000,43.555000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
amur7,107.125000,43.555000,112.224000,40.589000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
amur8,112.224000,40.589000,113.662000,41.383000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
amur9a,113.662000,41.383000,115.140000,40.907000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
amur9b,115.140000,40.907000,117.645000,39.763000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
arc1,140.400000,68.400000,162.390000,86.421000,90,0,0,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
arc2,162.390000,86.421000,285.123000,83.254000,90,0,0,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
arctic1a,144.880000,65.161000,148.979000,63.889000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
arctic1b,148.979000,63.889000,154.021000,61.575000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
arctic2a,162.646000,56.387000,164.873000,58.688000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
arctic2b,164.873000,58.688000,170.634000,62.156000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
arctic3,154.021000,61.575000,170.634000,62.156000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
arctic_1a,79.530000,70.261000,109.555000,70.389000,90,0,0,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
arctic_1b,109.555000,70.389000,140.400000,68.400000,90,0,0,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asddf,140.808000,42.375000,140.497000,42.220000,90,0,5,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,139.598000,39.419000,139.600000,40.020000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,131.263000,33.412000,131.236000,33.208000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
atotsugawaa,136.898000,36.211000,136.975000,36.254000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
atotsugawabaa,136.975000,36.254000,137.097000,36.303000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
atotsugawabab,137.097000,36.303000,137.267000,36.371000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
atotsugawabba,137.267000,36.371000,137.537000,36.466000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
atotsugawabbb,137.537000,36.466000,137.843000,36.562000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aus-pac2,185.840000,-15.180000,158.700000,-59.800000,90,0,0,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
beppu-schina,129.584000,32.324000,129.337000,31.861000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
beppu1a,131.989000,33.424000,131.794000,33.351000,120,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
bsgconn,128.955000,32.376000,129.818000,32.630000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
c-nhonshu1,139.879000,36.850000,139.899000,36.991000,135,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
c-nhonshu5ba,140.847000,40.765000,140.765000,41.040000,45,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
c-nhonshu5bb,140.765000,41.040000,140.706000,41.409000,45,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
cross_eurasia_1,69.484000,38.742000,79.530000,70.261000,90,0,0,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
cross_tibet_1a,69.484000,38.742000,70.704000,36.661000,90,0,0,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
cross_tibet_1b,70.704000,36.661000,71.925000,34.581000,90,0,0,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
e-izu-mp,139.225000,35.028000,139.194000,35.241000,70,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eastern-mtla,134.768000,34.195000,135.052000,34.236000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eastern-mtlba,135.052000,34.236000,135.444000,34.304000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eastern-mtlbbaa,135.444000,34.304000,135.602000,34.345000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eastern-mtlbbaba,135.602000,34.345000,135.693000,34.375000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eastern-mtlbbabb,135.693000,34.375000,135.915000,34.503000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eastern-mtlbbbaaa,135.915000,34.503000,135.997000,34.548000,90,1,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eastern-mtlbbbaab,135.997000,34.548000,136.107000,34.632000,90,1,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eastern-mtlbbbab,136.107000,34.632000,136.221000,34.696000,90,1,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eastern-mtlbbbbaaa,136.221000,34.696000,136.376000,34.754000,90,1,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eastern-mtlbbbbaab,136.376000,34.754000,136.550000,34.794000,90,1,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eastern-mtlbbbbab,136.550000,34.794000,136.977000,35.013000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eastern-mtlbbbbbaaa,136.977000,35.013000,137.200000,35.203000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eastern-mtlbbbbbaab,137.200000,35.203000,137.377000,35.317000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eastern-mtlbbbbbab,137.377000,35.317000,137.563000,35.415000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eastern-mtlbbbbbbaa,137.563000,35.415000,137.684000,35.449000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eastern-mtlbbbbbbab,137.684000,35.449000,137.861000,35.558000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eastern-mtlbbbbbbbaa,137.861000,35.558000,137.940000,35.646000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eastern-mtlbbbbbbbab,137.940000,35.646000,138.037000,35.760000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eastern-mtlbbbbbbbb,138.037000,35.760000,138.078000,36.015000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
eu_phil_1aaa,133.802000,31.789000,134.238000,32.039000,165,0,25,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1aaba,134.238000,32.039000,134.568000,32.202000,165,0,25,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1aabbaa,134.568000,32.202000,134.823000,32.289000,165,0,25,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1aabbab,134.823000,32.289000,134.943000,32.385000,165,0,25,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1aabbb,134.943000,32.385000,135.007000,32.527000,165,0,25,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1abaaa,135.007000,32.527000,135.157000,32.594000,165,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1abaaba,135.157000,32.594000,135.285000,32.609000,165,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1abaabb,135.285000,32.609000,135.487000,32.616000,165,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1ababaaa,135.487000,32.616000,135.859000,32.669000,165,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1ababaab,135.859000,32.669000,136.103000,32.729000,165,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1ababab,136.103000,32.729000,136.290000,32.796000,165,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1ababba,136.290000,32.796000,136.422000,32.805000,165,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1ababbba,136.422000,32.805000,136.508000,32.830000,165,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1ababbbba,136.508000,32.830000,136.793000,32.941000,165,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1ababbbbba,136.793000,32.941000,136.902000,33.001000,165,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
