,name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,Unnamed: 38,centroid_lon,centroid_lat
0,2sw_hokka                   ,140.401,42.526,140.272,42.795,45.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,1.0,1,0,0,1,0,15,5,0,0,0,0,1,0,0,,140.3365,42.6605
1,2sw_hokkba                  ,140.272,42.795,140.076,43.273,45.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,1.0,1,0,0,1,0,15,5,0,0,0,0,1,0,0,,140.17399999999998,43.034000000000006
2,aleun                       ,197.495,53.352,204.236,54.617,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,0,1,0,0,,200.8655,53.9845
3,alu_1                       ,164.025,55.235,171.72,52.086,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,,167.8725,53.6605
4,alu_2a                      ,171.72,52.086,177.518,50.703,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,,174.619,51.3945
5,alu_2b                      ,177.518,50.703,179.415,50.516,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,,178.4665,50.6095
6,alu_3a                      ,179.415,50.516,182.605,50.462,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,,181.01,50.489000000000004
7,alu_3b                      ,182.605,50.462,189.276,51.312,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,,185.9405,50.887
8,alu_4                       ,189.276,51.312,197.495,53.352,90.0,100,0,0,0,0,0,0,0,0,0.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,,193.3855,52.331999999999994
9,amur-okh                    ,142.376,54.096,139.85,54.025,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,0,1,0,0,,141.113,54.0605
10,amur1                       ,139.85,54.025,124.863,57.131,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,0,1,0,0,,132.35649999999998,55.578
11,amur10a                     ,117.645,39.763,120.971,41.129,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,0,1,0,0,,119.30799999999999,40.446
12,amur10b                     ,120.971,41.129,122.696,42.178,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,0,1,0,0,,121.8335,41.653499999999994
13,amur11                      ,122.696,42.178,125.037,40.144,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,0,1,0,0,,123.8665,41.161
14,amur12a                     ,125.037,40.144,126.022,36.84,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,0,1,0,0,,125.52950000000001,38.492000000000004
15,amur12b                     ,126.022,36.84,126.265,34.247,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,0,1,0,0,,126.1435,35.5435
16,amur2                       ,124.863,57.131,119.5,57.362,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,0,1,0,0,,122.1815,57.2465
17,amur3                       ,119.5,57.362,110.287,56.096,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,0,1,0,0,,114.8935,56.729
18,amur4a                      ,110.287,56.096,108.912,54.83,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,0,1,0,0,,109.5995,55.462999999999994
