,name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,create_ribbon_mesh,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,ss_rate_bound_flag,ss_rate_bound_min,ss_rate_bound_max,ds_rate_bound_flag,ds_rate_bound_min,ds_rate_bound_max,ts_rate_bound_flag,ts_rate_bound_min,ts_rate_bound_max,x1,y1,z1,x2,y2,z2,length,azimuth,mid_lon_plate_carree,mid_lat_plate_carree,mid_lon,mid_lat,mid_x,mid_y,mid_z,centroid_x,centroid_y,centroid_z,centroid_lon,centroid_lat,west_labels,east_labels
0,2,140.272,42.795,140.401,42.526,45.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,1.0,1,0,0,1,0,0,0,0,0,0,4,1,0,0,0,-1,1,0,-1,1,0,-1,1,-3615778.111617739,2991125.4996473426,4303913.144386688,-3593454.1546550067,2986310.8176839547,4325897.178631905,31698.67177547404,160.46532994348703,140.3365,42.6605,140.33663901917606,42.66051974269844,-3604627.178011758,2988727.3701622766,4314918.663880107,-3604625.5968184536,2988734.7015896775,7.5,140.33655280833162,42.660497167128554,1,0
1,2,140.076,43.273,140.272,42.795,45.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,1.0,1,0,0,1,0,0,0,0,0,0,4,1,0,0,0,-1,1,0,-1,1,0,-1,1,-3593454.1546550067,2986310.8176839547,4325897.178631905,-3555416.121845548,2975320.666264403,4364726.176398667,55452.94400341184,163.1918344803836,140.17399999999998,43.034000000000006,140.17438029084857,43.03404696591997,-3574468.657923434,2980843.8397475667,4345353.297268365,-3574466.576133654,2980851.0450339117,7.5,140.17429219338365,43.03402744391886,1,0
2,aleun,197.495,53.352,204.236,54.617,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-3624901.3638443826,-1142579.2394265695,5108713.560726373,-3362037.170823706,-1513499.2235759431,5191375.311394252,463868.7004978754,69.63038971071876,200.8655,53.9845,200.81437503379323,54.031797728492116,-3495756.37135243,-1328916.984260361,5153447.244574475,-3495756.37135243,-1328916.984260361,7.5,200.81437503379323,54.031797728492116,2,3
3,alu_1,164.025,55.235,171.72,52.086,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-3490577.99742518,999259.0587433843,5230841.045083431,-3871869.555562656,563464.451248253,5023493.348100061,617198.9625903907,121.41998803151509,167.8725,53.6605,168.01613975981664,53.72245564175195,-3685489.040230674,782289.8658683783,5133180.745075925,-3685489.040230674,782289.8658683783,7.5,168.01613975981664,53.72245564175195,3,2
4,alu_2a,171.72,52.086,177.518,50.703,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-3871869.555562656,563464.451248253,5023493.348100061,-4028976.420784973,174640.7737150291,4927595.870445742,431733.1227804181,108.58812255089015,174.619,51.3945,174.6627448082008,51.43039734814098,-3952666.4559217547,369270.18084938434,4978395.211640537,-3952666.4559217547,369270.18084938434,7.5,174.6627448082008,51.43039734814098,3,2
5,alu_2b,177.518,50.703,179.415,50.516,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-4028976.420784973,174640.7737150291,4927595.870445742,-4048609.6233118223,41338.45380152373,4914407.666421582,135877.44318270023,98.07215436147753,178.4665,50.6095,178.46838008080138,50.613361774369444,-4039020.2970560873,107996.05061606031,4921280.662036997,-4039020.2970560873,107996.05061606031,7.5,178.46838008080138,50.613361774369444,3,2
6,alu_3a,179.415,50.516,182.605,50.462,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-4048609.6233118223,41338.45380152373,4914407.666421582,-4049261.776638093,-184229.99612257368,4910589.560766142,226443.5200174845,90.28888043319066,181.01,50.489000000000004,181.01090919425081,50.499928059219116,-4049568.6373524736,-71456.76435940838,4913271.7453564005,-4049568.6373524736,-71456.76435940838,7.5,181.01090919425081,50.499928059219116,3,2
7,alu_3b,182.605,50.462,189.276,51.312,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-4049261.776638093,-184229.99612257368,4910589.560766142,-3928109.914202903,-641563.2569635698,4970181.138628066,478674.41873007675,76.03435256924031,185.9405,50.887,185.91011608079666,50.934680651713315,-3991472.1234996854,-413190.78815512155,4943862.368778856,-3991472.1234996854,-413190.78815512155,7.5,185.91011608079666,50.934680651713315,2,3
8,alu_4,189.276,51.312,197.495,53.352,90.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-3928109.914202903,-641563.2569635698,4970181.138628066,-3624901.3638443826,-1142579.2394265695,5108713.560726373,604072.3107629254,64.72429432145202,193.3855,52.331999999999994,193.29079941528542,52.40355518527207,-3780702.542611297,-893079.2017175272,5045101.5138717545,-3780702.542611297,-893079.2017175272,0.0,193.29079941528542,52.40355518527207,2,3
9,amur-okh,139.85,54.025,142.376,54.096,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-2957497.405093077,2279553.785396643,5157634.641952701,-2859040.527267297,2411802.9785107058,5153003.504540729,165583.9701644705,86.24239654166317,141.113,54.0605,141.1119228502895,54.06713076485248,-2908511.945520877,2345874.1485951873,5155752.535104278,-2908511.945520877,2345874.1485951873,7.5,141.1119228502895,54.06713076485248,4,5
