,name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,Unnamed: 38,centroid_lon,centroid_lat
0,BRa                                                                ,247.087,43.873,247.764,42.286,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,247.4255,43.079499999999996
1,BRb                                                                ,245.927,44.722,247.087,43.873,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,246.507,44.2975
2,Baja_connect_eleaa                                                 ,244.321,31.193,244.76,31.084,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,244.5405,31.1385
3,Baja_connect_eleab                                                 ,244.76,31.084,245.238,31.03,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,244.999,31.057000000000002
4,Baja_connect_eleba                                                 ,245.238,31.03,245.703,30.976,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,245.47050000000002,31.003
5,Baja_connect_elebb                                                 ,245.703,30.976,246.156,30.867,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,245.92950000000002,30.9215
6,ConnectSoutha                                                      ,243.671,34.008,243.729,33.915,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,243.7,33.9615
7,ConnectSouthb                                                      ,243.729,33.915,243.814,33.747,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,243.7715,33.831
8,Eastern_closure1aa,220.823,60.284,223.835,61.4,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,222.329,60.842
9,Eastern_closure1ab,223.835,61.4,272.027,61.99,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,247.93099999999998,61.695
10,Eastern_closure1b,272.027,61.99,325.661,58.239,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,298.844,60.1145
11,Eastern_closure2,274.413,-13.347,325.661,58.239,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,300.03700000000003,22.445999999999998
12,Eastern_closure3,260.639,5.079,274.413,-13.347,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,267.526,-4.134
13,GarlockExtensionba                                                 ,244.746,35.814,245.545,35.967,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,245.1455,35.8905
14,GarlockExtensionbb                                                 ,245.545,35.967,245.884,36.033,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,245.7145,36.0
15,Nevada02aa,247.764,42.286,248.03,41.178,90.0,100,0,0,0,0,0,0,0,0,10.0,5,4,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,247.897,41.732
16,Nevada02aba,248.03,41.178,248.163,40.625,90.0,100,0,0,0,0,0,0,0,0,10.0,5,4,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,248.0965,40.9015
17,Nevada02abb,248.163,40.625,248.418,40.143,90.0,100,0,0,0,0,0,0,0,0,10.0,5,4,5,0,0.0,0.0,0,-2.4,1.2,0,0,0,0,0,0,0,0,0,-1,0,0,0,,248.2905,40.384
18,Nevada02bbbbaab,246.435,36.86,246.481,36.879,90.0,100,0,0,0,0,0,0,0,0,10.0,5,4,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,246.458,36.8695
19,Nevada02bbbbab,246.126,36.368,246.435,36.86,90.0,100,0,0,0,0,0,0,0,0,10.0,5,4,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,246.28050000000002,36.614000000000004
20,Nevada02bbbbb,245.884,36.033,246.126,36.368,90.0,100,0,0,0,0,0,0,0,0,10.0,5,4,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,246.005,36.200500000000005
21,OWLaaaaaaa                                                         ,232.507,49.784,233.029,49.55,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,232.768,49.667
