name,lon1,lat1,lon2,lat2,dip,create_ribbon_mesh,locking_depth,locking_depth_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,mesh_file_name,mesh_flag,ss_rate_bound_flag,ss_rate_bound_min,ss_rate_bound_max,ds_rate_bound_flag,ds_rate_bound_min,ds_rate_bound_max,ts_rate_bound_flag,ts_rate_bound_min,ts_rate_bound_max
BRa,247.087000,43.873000,247.764000,42.286000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
BRb,245.927000,44.722000,247.087000,43.873000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Baja_connect_eleaa,244.321000,31.193000,244.760000,31.084000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Baja_connect_eleab,244.760000,31.084000,245.238000,31.030000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Baja_connect_eleba,245.238000,31.030000,245.703000,30.976000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Baja_connect_elebb,245.703000,30.976000,246.156000,30.867000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
ConnectSoutha,243.671000,34.008000,243.729000,33.915000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
ConnectSouthb,243.729000,33.915000,243.814000,33.747000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Eastern_closure1aa,220.823000,60.284000,223.835000,61.400000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Eastern_closure1ab,223.835000,61.400000,272.027000,61.990000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Eastern_closure1b,272.027000,61.990000,325.661000,58.239000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Eastern_closure2,274.413000,-13.347000,325.661000,58.239000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Eastern_closure3,260.639000,5.079000,274.413000,-13.347000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
GarlockExtensionba,244.746000,35.814000,245.545000,35.967000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
GarlockExtensionbb,245.545000,35.967000,245.884000,36.033000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Nevada02aa,247.764000,42.286000,248.030000,41.178000,90,0,10,4,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Nevada02aba,248.030000,41.178000,248.163000,40.625000,90,0,10,4,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Nevada02abb,248.163000,40.625000,248.418000,40.143000,90,0,10,4,0,0,0,-2.4,1.2,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Nevada02bbbbaab,246.435000,36.860000,246.481000,36.879000,90,0,10,4,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Nevada02bbbbab,246.126000,36.368000,246.435000,36.860000,90,0,10,4,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Nevada02bbbbb,245.884000,36.033000,246.126000,36.368000,90,0,10,4,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLaaaaaaa,232.507000,49.784000,233.029000,49.550000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLaaaaaab,231.952000,50.108000,232.507000,49.784000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLaaaaabaa,231.263000,50.488000,231.952000,50.108000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLaaaaabab,230.885000,50.702000,231.263000,50.488000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLaaaaabb,230.457000,50.715000,230.885000,50.702000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLaaaaba,233.029000,49.550000,233.530000,49.299000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLaaaabb,233.530000,49.299000,234.031000,49.049000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLaaabaa,234.031000,49.049000,234.914000,48.682000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLaaabab,234.914000,48.682000,235.573000,48.492000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLaaabba,235.573000,48.492000,236.204000,48.468000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLaaabbb,236.204000,48.468000,236.934000,48.328000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLaab,236.934000,48.328000,237.635000,48.130000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLaba,237.635000,48.130000,238.156000,47.782000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLabbaa,238.156000,47.782000,238.525000,47.133000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLabbaba,238.525000,47.133000,238.709000,46.809000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLabbabb,238.709000,46.809000,238.894000,46.485000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLbabaaa,240.923000,46.047000,241.189000,45.990000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLbabaab,241.189000,45.990000,241.455000,45.933000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLbabab,241.455000,45.933000,241.987000,45.819000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLbabb,241.987000,45.819000,243.051000,45.590000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLbba,243.051000,45.590000,244.608000,45.127000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
OWLbbb,244.608000,45.127000,245.927000,44.722000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
PAC_to_SAF_northern_closure1,191.226000,51.571000,205.239000,54.838000,160,0,35,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
SAF_to_OV_closure1a,205.239000,54.838000,211.394000,57.198000,160,0,35,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
SAF_to_OV_closure1ba,211.394000,57.198000,215.060000,59.649000,160,0,35,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
SAF_to_OV_closure1bb,215.060000,59.649000,220.823000,60.284000,160,0,35,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
SAF_to_PAC_southern_closure1,259.341000,1.742000,260.639000,5.079000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
