lon,lat,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,
0.34,50.87,HERS_GPS,21.705,-5.9,0.8,0.8,0,0,1,
4.359,50.798,BRUS_GPS,20.31,-8.27,0.77,0.77,0,0,1,
4.36,50.8,BROS_GPS,19.344,-7.336,0.9,0.9,0,0,1,
5.81,51.18,KOSO_GPS,19.289,-7.157,0.8,0.8,0,0,1,
11.86,78.93,NYAL_GPS,17.384,-9.027,0.8,0.8,0,0,1,
11.865,78.93,NYA1_GPS,9.21,-8.71,0.55,0.55,0,0,1,
11.926,57.395,ONSA_GPS,16.71,-8.86,0.69,0.68,0,0,1,
11.93,57.4,ONSA_GPS,17.763,-7.937,0.8,0.8,0,0,1,
12.879,49.144,WTZR_GPS,20.27,-8.18,0.71,0.71,0,0,1,
12.88,49.14,WTZR_GPS,19.144,-8.366,1.1,1.1,0,0,1,
13.066,52.379,POTS_GPS,18.99,-8.34,0.74,0.73,0,0,1,
13.07,52.38,POTS_GPS,18.858,-8.591,1,1,0,0,1,
15.49,47.07,GRAZ_GPS,20.248,-8.807,0.9,0.9,0,0,1,
15.493,47.067,GRAZ_GPS,20.58,-8.51,0.69,0.69,0,0,1,
17.07,52.28,BORI_GPS,18.394,-8.805,1,1,0,0,1,
17.073,52.277,BOR1_GPS,18.85,-8.55,0.77,0.77,0,0,1,
18.94,69.66,TROM_GPS,16.209,-9.231,0.8,0.8,0,0,1,
20.97,67.86,KIRU_GPS,16.127,-10.466,0.9,0.9,0,0,1,
24.395,60.217,METS_GPS,15.3,-9.82,0.72,0.72,0,0,1,
24.4,60.22,METS_GPS,16.362,-9.335,0.8,0.8,0,0,1,
36.758,55.699,ZWEN_GPS,12.427,-7.418,1.02,1.04,0,0,1,
36.759,55.699,ZWEN_GPS,14.94,-9.46,0.72,0.72,0,0,1,
36.76,55.1,ZWEN_GPS,15.54,-9.874,1.1,1,0,0,1,
58.56,56.43,ARTU_GPS,9.784,-8.087,1.2,1.2,0,0,1,
66.885,39.134,KIT3_GPS,16.055,-7.979,1.04,0.99,0,0,1,
66.89,39.13,KIT3_GPS,13.696,-11.394,0.9,0.9,0,0,1,
72.21,42.445,TALA_GPS,14.433,-7.116,2.52,2.43,0,0,1,
72.37,-7.27,DGAR_GPS,49.202,21.314,1.2,1.1,0,0,1,
73.997,44.208,SUMK_GPS,12.803,-10.071,2.18,2.1,0,0,1,
74.336,39.842,I089_GPS,16.296,4.67,1.6,1.2,0,0,1,
74.426,39.024,MUJI_GPS,13.752,10.821,2.79,2.37,0,0,1,
74.69,42.68,POL2_GPS,12.385,-9.501,1,1,0,0,1,
74.694,42.679,POL2_GPS,12.755,-4.976,1.08,0.99,0,0,1,
74.751,42.998,CHUM_GPS,14.835,-9.393,2.2,2.11,0,0,1,
74.95,38.662,BULU_GPS,14.684,12.228,2.77,2.37,0,0,1,
74.951,38.662,I090_GPS,12.742,14.676,1.4,1.2,0,0,1,
75.124,39.697,WUQO_GPS,14.938,7.657,1.59,1.14,0,0,1,
75.21,38.033,TAXK_GPS,11.631,14.531,1.61,1.15,0,0,1,
75.23,37.77,TASH_GPS,11.949,13.879,1,1,0,0,1,
75.234,37.775,TASH_GPS,13.291,15.579,1,0.9,0,0,1,
