lon,lat,east_vel,north_vel,up_vel,east_sig,north_sig,up_sig,corr,other,flag,east_adjust,north_adjust,up_adjust,name,block_label,other1
29.1642,40.2582,-17.1591,-0.0126,-27.9631,0.9821,2.0,0.9378,0.0,0.0,1,0,0,0,name,0,
26.8838,40.655,-10.3052,-3.8613,-22.0388,0.754,2.0,0.7364,0.0,0.0,1,0,0,0,name,0,
31.643,38.4814,-20.1081,-2.017,-5.3139,0.5969,2.0,0.5289,0.0,0.0,1,0,0,0,name,0,
29.9935,40.7001,-15.5086,-0.3736,0.1891,0.7883,2.0,0.8004,0.0,0.0,1,0,0,0,name,0,
28.975,37.5795,-26.3773,-12.4898,20.8085,0.6645,2.0,0.6252,0.0,0.0,1,0,0,0,name,0,
38.7276,40.0598,-9.3821,4.3627,-5.945,0.7428,2.0,0.6394,0.0,0.0,1,0,0,0,name,0,
26.4151,40.0327,-18.4306,-8.3792,1.4662,0.8585,2.0,0.7933,0.0,0.0,1,0,0,0,name,0,
32.3911,40.9076,-9.32,-0.0373,0.0231,0.9149,2.0,0.8211,0.0,0.0,1,0,0,0,name,0,
36.6455,40.646,-11.6316,5.449,9.2647,0.5611,2.0,0.4943,0.0,0.0,1,0,0,0,name,0,
29.0381,39.717,-23.265,-4.7145,1.7788,0.6535,2.0,0.6056,0.0,0.0,1,0,0,0,name,0,
36.6004,40.637,-13.3004,5.6558,4.0461,0.6051,2.0,0.5436,0.0,0.0,1,0,0,0,name,0,
27.7221,37.363,-15.8006,-23.7979,-1.0339,0.7835,2.0,0.7205,0.0,0.0,1,0,0,0,name,0,
35.9064,40.9526,-16.1728,5.1362,-1.3842,0.9253,2.0,0.7313,0.0,0.0,1,0,0,0,name,0,
32.8237,39.0045,-22.7311,5.2772,4.0548,0.4817,2.0,0.4567,0.0,0.0,1,0,0,0,name,0,
27.4156,40.8444,-1.9675,-3.2284,6.9498,0.8568,2.0,0.8465,0.0,0.0,1,0,0,0,name,0,
31.7511,40.7813,-11.5304,-0.8114,-5.8103,0.8568,2.0,0.8309,0.0,0.0,1,0,0,0,name,0,
36.6905,40.5648,-16.6881,6.3132,0.7789,0.629,2.0,0.54,0.0,0.0,1,0,0,0,name,0,
33.1482,40.5197,-20.115,0.6645,4.3544,0.6338,2.0,0.5638,0.0,0.0,1,0,0,0,name,0,
37.5648,39.8523,-22.4683,10.1111,8.5479,0.7166,2.0,0.6745,0.0,0.0,1,0,0,0,name,0,
27.2083,40.7272,-9.604,-3.7431,10.6277,0.8255,2.0,0.8061,0.0,0.0,1,0,0,0,name,0,
35.1673,41.0428,-13.5211,3.6751,-7.7467,0.7194,2.0,0.7224,0.0,0.0,1,0,0,0,name,0,
39.025,40.0598,-4.6344,4.102,-3.5497,0.6046,2.0,0.6028,0.0,0.0,1,0,0,0,name,0,
33.5178,40.7182,-21.1762,1.4808,-3.1649,0.7071,2.0,0.6958,0.0,0.0,1,0,0,0,name,0,
26.3971,40.2852,-17.0516,-7.3388,-14.7248,0.8118,2.0,0.7314,0.0,0.0,1,0,0,0,name,0,
34.8518,37.3811,-9.1491,8.7336,0.8802,1.2743,2.0,1.2807,0.0,0.0,1,0,0,0,name,0,
34.5543,40.8354,-15.4488,3.5297,-9.5354,0.5461,2.0,0.5381,0.0,0.0,1,0,0,0,name,0,
39.5749,39.5908,-14.5432,7.3978,-1.7399,0.6998,2.0,0.6602,0.0,0.0,1,0,0,0,name,0,
32.7156,40.6099,-18.0529,-0.5064,8.3112,0.7485,2.0,0.7239,0.0,0.0,1,0,0,0,name,0,
32.8147,40.8895,-16.4535,-0.1114,1.7739,0.5888,2.0,0.5474,0.0,0.0,1,0,0,0,name,0,
34.969,41.0338,-9.1759,3.4042,2.6757,0.5333,2.0,0.493,0.0,0.0,1,0,0,0,name,0,
29.4527,40.8083,-1.2323,0.6048,9.0737,0.7326,2.0,0.722,0.0,0.0,1,0,0,0,name,0,
30.4261,39.3653,-22.9497,-2.9661,4.0816,0.4662,2.0,0.4353,0.0,0.0,1,0,0,0,name,0,
32.2018,40.4386,-19.8152,-0.9409,2.8107,0.5501,2.0,0.4912,0.0,0.0,1,0,0,0,name,0,
37.9614,39.9335,-17.3862,10.0308,6.804,0.6536,2.0,0.6174,0.0,0.0,1,0,0,0,name,0,
39.1332,39.7531,-17.242,7.0183,-1.8224,0.6123,2.0,0.5852,0.0,0.0,1,0,0,0,name,0,
27.4967,39.8974,-21.2099,-7.4779,-19.1399,0.7035,2.0,0.6615,0.0,0.0,1,0,0,0,name,0,
31.8953,40.7362,-15.8049,-1.0812,-0.7791,0.6381,2.0,0.5793,0.0,0.0,1,0,0,0,name,0,
30.0295,40.7001,-16.1342,-0.4719,5.378,0.8295,2.0,0.8367,0.0,0.0,1,0,0,0,name,0,
36.6274,39.708,-14.1483,9.5558,2.4121,0.5076,2.0,0.4463,0.0,0.0,1,0,0,0,name,0,
26.9109,40.8083,-4.4029,-2.8704,8.8402,0.899,2.0,0.901,0.0,0.0,1,0,0,0,name,0,
37.4206,40.4205,-7.3893,7.1065,-0.2263,0.5901,2.0,0.5691,0.0,0.0,1,0,0,0,name,0,
35.4557,41.124,-5.0308,2.9296,12.0652,0.7137,2.0,0.6896,0.0,0.0,1,0,0,0,name,0,
27.1723,40.7001,-11.6556,-3.8375,3.074,0.8668,2.0,0.8474,0.0,0.0,1,0,0,0,name,0,
29.9304,40.2311,-20.1293,-3.008,4.2626,0.6433,2.0,0.5806,0.0,0.0,1,0,0,0,name,0,
36.7626,40.5829,-17.659,5.9747,2.4486,0.5149,2.0,0.4582,0.0,0.0,1,0,0,0,name,0,
39.8363,39.6268,-9.6024,6.6939,1.2789,0.5804,2.0,0.5434,0.0,0.0,1,0,0,0,name,0,
33.3285,40.9707,-11.4187,0.7393,4.1598,0.6619,2.0,0.6195,0.0,0.0,1,0,0,0,name,0,
28.7767,41.0158,1.5196,1.823,10.7179,0.6625,2.0,0.5726,0.0,0.0,1,0,0,0,name,0,
30.4712,40.637,-16.1653,-1.497,-0.5845,0.6629,2.0,0.6569,0.0,0.0,1,0,0,0,name,0,
29.9755,40.7091,-15.1572,-0.2866,4.3598,0.7445,2.0,0.7552,0.0,0.0,1,0,0,0,name,0,
32.7697,40.8895,-14.4523,-0.123,3.6581,0.61,2.0,0.5751,0.0,0.0,1,0,0,0,name,0,
38.1597,39.699,-15.6661,10.6624,5.0945,0.6572,2.0,0.5975,0.0,0.0,1,0,0,0,name,0,
31.7601,40.7723,-13.1942,-0.866,-1.3617,0.7595,2.0,0.6944,0.0,0.0,1,0,0,0,name,0,
35.1943,41.1601,-7.7559,2.7353,-6.0577,0.7019,2.0,0.6709,0.0,0.0,1,0,0,0,name,0,
26.6765,41.3946,3.7339,-1.0182,7.1324,0.7645,2.0,0.7697,0.0,0.0,1,0,0,0,name,0,
38.0245,40.2311,-3.7954,6.2904,9.7477,0.7282,2.0,0.7051,0.0,0.0,1,0,0,0,name,0,
37.7271,40.3213,-11.8261,7.1548,4.4476,0.644,2.0,0.6216,0.0,0.0,1,0,0,0,name,0,
26.1988,39.5908,-17.9886,-10.2452,7.2106,0.9938,2.0,0.8995,0.0,0.0,1,0,0,0,name,0,
34.8968,40.4205,-19.921,5.2946,-5.7454,0.6262,2.0,0.5374,0.0,0.0,1,0,0,0,name,0,
29.002,41.133,-0.9088,-0.0211,6.6638,0.7843,2.0,0.7479,0.0,0.0,1,0,0,0,name,0,
38.9349,40.1409,-3.5411,3.3399,0.7485,0.4844,2.0,0.4909,0.0,0.0,1,0,0,0,name,0,
30.2729,40.664,-10.9834,-1.2728,-0.5413,0.724,2.0,0.664,0.0,0.0,1,0,0,0,name,0,
39.8182,39.6539,-12.6613,6.3479,-1.0651,0.5351,2.0,0.5011,0.0,0.0,1,0,0,0,name,0,
35.8343,40.8354,-12.001,5.9573,4.2506,0.6598,2.0,0.6484,0.0,0.0,1,0,0,0,name,0,
33.4457,40.0868,-21.6676,4.0708,0.048,0.7249,2.0,0.7016,0.0,0.0,1,0,0,0,name,0,
30.5163,40.6189,-20.1599,-1.4455,3.5612,0.6744,2.0,0.6679,0.0,0.0,1,0,0,0,name,0,
32.5263,40.8715,-8.0812,-0.1112,-0.0835,0.6205,2.0,0.5978,0.0,0.0,1,0,0,0,name,0,
37.6009,40.3213,-11.2364,7.57,9.0366,0.8256,2.0,0.7919,0.0,0.0,1,0,0,0,name,0,
37.3846,40.159,-18.8907,8.4129,-0.3799,0.6014,2.0,0.5741,0.0,0.0,1,0,0,0,name,0,
34.8968,41.0879,-10.7741,2.8023,2.0479,0.7675,2.0,0.7531,0.0,0.0,1,0,0,0,name,0,
38.1417,40.186,-4.2023,5.8821,0.5327,0.7327,2.0,0.6472,0.0,0.0,1,0,0,0,name,0,
36.6545,40.628,-17.8839,5.6371,7.0543,0.5588,2.0,0.4987,0.0,0.0,1,0,0,0,name,0,
36.6995,40.637,-12.2636,5.4295,5.2201,0.577,2.0,0.5149,0.0,0.0,1,0,0,0,name,0,
36.2038,40.8534,-7.1044,5.1652,4.827,0.6171,2.0,0.535,0.0,0.0,1,0,0,0,name,0,
37.0781,40.4386,-12.4897,7.1476,4.2904,0.5629,2.0,0.4915,0.0,0.0,1,0,0,0,name,0,
31.1652,40.5197,-19.7425,-1.5753,3.3552,0.6378,2.0,0.5519,0.0,0.0,1,0,0,0,name,0,
37.1142,40.4295,-12.0443,7.2024,4.1431,0.5742,2.0,0.5003,0.0,0.0,1,0,0,0,name,0,
39.2233,39.7982,-14.2757,5.5027,-1.5363,0.5615,2.0,0.544,0.0,0.0,1,0,0,0,name,0,
26.9289,39.6809,-19.7239,-8.3114,7.9635,0.8554,2.0,0.8268,0.0,0.0,1,0,0,0,name,0,
39.6019,40.0778,-3.1983,2.4031,-1.8828,0.5272,2.0,0.508,0.0,0.0,1,0,0,0,name,0,
30.1107,39.0496,-23.151,-4.7186,3.4343,0.6071,2.0,0.5992,0.0,0.0,1,0,0,0,name,0,
29.1462,39.9786,-26.8254,-3.3285,3.5,0.8083,2.0,0.7638,0.0,0.0,1,0,0,0,name,0,
37.1052,40.3935,-12.9513,7.498,6.5536,0.5985,2.0,0.526,0.0,0.0,1,0,0,0,name,0,
37.7631,40.2852,-11.2788,7.3636,7.2773,0.6553,2.0,0.6315,0.0,0.0,1,0,0,0,name,0,
34.987,41.0879,-11.2084,3.0418,1.1904,0.6808,2.0,0.6297,0.0,0.0,1,0,0,0,name,0,
38.4211,38.8422,-16.7982,11.7701,-0.3288,0.582,2.0,0.5647,0.0,0.0,1,0,0,0,name,0,
40.0526,39.5547,-7.5318,6.7544,2.8471,0.6715,2.0,0.6217,0.0,0.0,1,0,0,0,name,0,
36.6094,40.6821,-10.5379,5.1311,4.2539,0.6661,2.0,0.5976,0.0,0.0,1,0,0,0,name,0,
