lon,lat,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,
183.434,-43.956,BRAE_GPS,-38.713,50.072,0.461,0.48,1,0,1,
210.394,-17.577,MAUI_PBO,-66.958,47.557,0.7,0.6,1,0,1,
167.73,8.722,HANS_GPS,-69.881,44.642,0.559,0.534,1,0,1,
204.544,19.801,JORD_GPS,-60.5,51.831,0.386,0.384,1,0,1,
203.743,20.707,P635_PBO,-59.69,53.128,0.6,0.7,1,0,1,
200.335,22.126,P551_PBO,-59.844,52.241,0.632,0.592,1,0,1,
279.616,25.614,KELS_PBO,-0.335,0.412,0.342,0.335,1,0,1,
255.985,30.68,P193_PBO,-0.98,0.153,0.402,0.401,1,0,1,
244.534,31.045,P452_PBO,-32.751,30.337,1.04,1.05,1,0,1,
243.839,31.257,P136_PBO,-32.331,31.783,0.92,0.91,1,0,1,
246.48,31.354,P095_PBO,-2.985,1.997,0.83,0.81,1,0,1,
243.333,31.871,SNI1_PBO,-29.954,30.882,0.98,0.99,1,0,1,
244.757,31.988,P450_PBO,-25.281,27.259,1.21,1.12,1,0,1,
243.442,32.245,SRS1_PBO,-28.561,29.428,1.08,1.1,1,0,1,
245.086,32.251,P296_PBO,-8.913,7.697,1.12,1.13,1,0,1,
295.3,32.31,W078_GPS,0.117,-0.249,0.7,0.7,1,0,1,
244.657,32.356,P538_PBO,-19.825,27.333,0.89,0.89,1,0,1,
295.304,32.37,BAMF_GPS,0.662,-0.271,0.435,0.386,1,0,1,
244.925,32.559,P533_PBO,-6.62,1.493,1.1,1.12,1,0,1,
243.017,32.569,P536_PBO,-28.147,30.114,1.05,1.19,1,0,1,
243.159,32.601,P307_PBO,-26.763,29.209,1.48,1.21,1,0,1,
243.523,32.607,P535_PBO,-28.041,29.035,1.03,1.12,1,0,1,
243.83,32.617,JCT1_PBO,-27.898,26.957,0.3,0.3,1,0,1,
244.754,32.629,P388_PBO,-8.018,7.749,1.05,0.96,1,0,1,
252.805,32.659,RVAL_GPS,-1.574,0.945,0.4,0.7,1,0,1,
244.494,32.664,P300_PBO,-21.202,26.349,1.09,1.07,1,0,1,
244.7,32.69,FISH_GPS,-6.392,8.937,0.5,0.5,1,0,1,
244.968,32.706,GS04_GPS,-3.893,2.321,0.57,0.616,1,0,1,
244.938,32.709,P516_PBO,-4.012,2.552,1.05,0.99,1,0,1,
245.995,32.723,HOLC_GNR,-3.287,0.106,0.7,0.7,1,0,1,
243.05,32.734,RG09_PBO,-29.096,27.375,0.3,0.3,1,0,1,
243.998,32.734,P532_PBO,-28.101,28.357,0.97,0.96,1,0,1,
244.5,32.738,ORES_PBO,-21.183,20.719,0.92,0.93,1,0,1,
244.404,32.751,SPRN_GPS,-23.391,28.044,0.5,0.9,1,0,1,
244.268,32.76,WES2_PBO,-22.791,26.547,0.6,0.5,1,0,1,
244.204,32.79,P283_PBO,-24.832,27.12,0.91,0.91,1,0,1,
244.406,32.8,P298_PBO,-17.154,22.102,1.32,1.16,1,0,1,
242.852,32.818,P540_PBO,-29.209,29.221,1.2,1.5,1,0,1,
243.381,32.824,P515_PBO,-27.291,28.431,0.95,1.03,1,0,1,
244.498,32.827,P310_PBO,-14.864,20.255,0.626,0.534,1,0,1,
244.493,32.829,WSTG_GPS,-14.864,20.255,0.626,0.534,1,0,1,
244.423,32.835,0614_GPS,-16.488,22.143,0.5,0.6,1,0,1,
242.747,32.84,TJRN_PBO,-28.26,30.155,1.11,1.09,1,0,1,
244.753,32.84,P141_PBO,-4.513,-0.321,0.92,0.88,1,0,1,
243.198,32.844,P539_PBO,-28.021,28.587,0.96,1.04,1,0,1,
242.75,32.865,P546_PBO,-28.394,28.615,0.73,0.76,1,0,1,
244.602,32.876,RITA_GPS,-4.686,6.439,0.4,0.4,1,0,1,
242.895,32.889,P029_PBO,-28.691,27.179,0.3,0.3,1,0,1,
244.706,32.891,WAUC_GPS,-1.585,3.137,0.6,0.6,1,0,1,
