name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,length,x1,y1,z1,x2,y2,z2,mid_lon_plate_carree,mid_lat_plate_carree,mid_lon,mid_lat,mid_x,mid_y,mid_z,centroid_x,centroid_y,centroid_z,centroid_lon,centroid_lat,west_labels,east_labels
BRa                                                                ,247.087,43.873,247.764,42.286,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,184723.70699038482,-1787096.4205128201,-4227973.293502273,4413035.199807591,-1782599.4739443774,-4360293.312423723,4284219.042794754,247.4255,43.079499999999996,247.42986839253462,43.08005576975818,-1785035.2601808778,-4294580.635518582,4349089.300814461,-1785035.2601808778,-4294580.635518582,7.5,247.42986839253462,43.08005576975818,1,0
BRb                                                                ,245.927,44.722,247.087,43.873,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,132169.99196945564,-1845445.257763559,-4130765.8198371218,4480564.362196169,-1787096.4205128201,-4227973.293502273,4413035.199807591,246.507,44.2975,246.5111788665584,44.29898823351609,-1816368.765143918,-4179592.012805373,4447040.204115779,-1816368.765143918,-4179592.012805373,7.5,246.5111788665584,44.298988233516084,1,0
Baja_connect_eleaa                                                 ,244.321,31.193,244.76,31.084,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,0,0,0,0,43574.963815340554,-2360293.204427559,-4908930.619137842,3297842.8748415327,-2325283.1184117324,-4932536.866282148,3287474.7061408544,244.5405,31.1385,244.54062552214282,31.138687243857657,-2342801.8410013737,-4920762.337826798,3292678.0908471653,-2342801.8410013737,-4920762.337826798,7.5,244.54062552214282,31.138687243857657,3,2
Baja_connect_eleab                                                 ,244.76,31.084,245.238,31.03,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,0,0,0,0,46014.96899676369,-2325283.1184117324,-4932536.866282148,3287474.7061408544,-2285348.8681766815,-4954575.36197479,3282333.7726006717,244.999,31.057000000000002,244.99906749177134,31.057221443107938,-2305330.9688073206,-4943588.152663909,3284925.6860114746,-2305330.9688073206,-4943588.152663909,7.5,244.99906749177134,31.05722144310794,3,2
Baja_connect_eleba                                                 ,245.238,31.03,245.703,30.976,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,0,0,0,0,44809.809700236765,-2285348.8681766815,-4954575.36197479,3282333.7726006717,-2246335.683761355,-4975776.689404122,3277189.923480478,245.47050000000002,31.003,245.47056551589623,31.00320935662553,-2265856.235657451,-4965206.541344639,3279782.1547535234,-2265856.235657451,-4965206.541344639,7.5,245.47056551589623,31.00320935662553,3,2
Baja_connect_elebb                                                 ,245.703,30.976,246.156,30.867,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,0,0,0,0,44953.56625250959,-2246335.683761355,-4975776.689404122,3277189.923480478,-2209442.004914425,-4999074.677206198,3266798.1052024765,245.92950000000002,30.9215,245.92962841646283,30.92169856718429,-2227902.6910528545,-4987456.532136205,3272014.4255137956,-2227902.6910528545,-4987456.532136205,7.5,245.92962841646283,30.92169856718429,3,2
ConnectSoutha                                                      ,243.671,34.008,243.729,33.915,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11625.466585403912,-2341081.2053142167,-4730788.102800198,3561366.8974212217,-2338846.6121004657,-4738332.870769593,3552794.6172512653,243.7,33.9615,243.70001577892373,33.96150359221772,-2339964.8862902075,-4734562.449555885,3557082.259901118,-2339964.8862902075,-4734562.449555885,7.5,243.70001577892373,33.96150359221772,5,4
ConnectSouthb                                                      ,243.729,33.915,243.814,33.747,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20227.494061073354,-2338846.6121004657,-4738332.870769593,3552794.6172512653,-2336401.583732027,-4751125.174024958,3537285.4962244416,243.7715,33.831,243.77154156730856,33.83100789682279,-2337627.0533102965,-4744734.980649402,3545044.595566148,-2337627.0533102965,-4744734.980649402,7.5,243.77154156730856,33.83100789682279,5,4
Eastern_closure1aa                                                 ,220.823,60.284,223.835,61.4,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,205605.77752623794,-2388513.290025879,-2063383.1423780387,5530081.892037304,-2198667.7278198814,-2111026.2716877647,5590508.005933489,222.329,60.842,222.30274664457184,60.850455669719594,-2293883.122078171,-2087474.0623716174,5561016.428917438,-2293883.122078171,-2087474.0623716174,7.5,222.30274664457184,60.850455669719594,6,0
Eastern_closure1ab                                                 ,223.835,61.4,272.027,61.99,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2492336.3868691074,-2198667.7278198814,-2111026.2716877647,5590508.005933489,105768.78509298975,-2988444.2637445386,5621598.109800391,247.93099999999998,61.695,247.68638618170132,63.822682698942145,-1066510.6216601722,-2598662.6690687896,5714355.509398529,-1066510.6216601722,-2598662.6690687896,7.5,247.68638618170132,63.822682698942145,6,0
Eastern_closure1b                                                  ,272.027,61.99,325.661,58.239,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2924198.409438369,105768.78509298975,-2988444.2637445386,5621598.109800391,2767528.786851273,-1890641.812614746,5413927.35561361,298.844,60.1145,300.4911704683936,62.84224162264151,1474708.1702910261,-2504440.13649267,5665453.810306857,1474708.1702910261,-2504440.13649267,7.5,300.4911704683936,62.84224162264151,0,6
