lon,lat,east_vel,north_vel,east_sig,north_sig,correlation,other1,tog,name,up_vel,up_sig,east_adjust,north_adjust,up_adjust
183.434,-43.956,-38.713,50.072,0.461,0.48,0.205,3,true,BRAE_GPS,0,1,0,0,0
210.394,-17.577,-66.958,47.557,0.7,0.6,0.016,3,true,MAUI_PBO,0,1,0,0,0
167.73,8.722,-69.881,44.642,0.559,0.534,-0.103,3,true,HANS_GPS,0,1,0,0,0
204.544,19.801,-60.5,51.831,0.386,0.384,0.032,3,true,JORD_GPS,0,1,0,0,0
203.743,20.707,-59.69,53.128,0.6,0.7,-0.009,3,true,P635_PBO,0,1,0,0,0
200.335,22.126,-59.844,52.241,0.632,0.592,-0.002,3,true,P551_PBO,0,1,0,0,0
279.616,25.614,-0.335,0.412,0.342,0.335,0.009,1,true,KELS_PBO,0,1,0,0,0
255.985,30.68,-0.98,0.153,0.402,0.401,-0.046,1,true,P193_PBO,0,1,0,0,0
244.534,31.045,-32.751,30.337,1.04,1.05,-0.05,3,true,P452_PBO,0,1,0,0,0
243.839,31.257,-32.331,31.783,0.92,0.91,-0.065,3,true,P136_PBO,0,1,0,0,0
246.48,31.354,-2.985,1.997,0.83,0.81,-0.077,1,true,P095_PBO,0,1,0,0,0
243.333,31.871,-29.954,30.882,0.98,0.99,-0.056,25,true,SNI1_PBO,0,1,0,0,0
244.757,31.988,-25.281,27.259,1.21,1.12,0.093,4,true,P450_PBO,0,1,0,0,0
243.442,32.245,-28.561,29.428,1.08,1.1,-0.04,4,true,SRS1_PBO,0,1,0,0,0
245.086,32.251,-8.913,7.697,1.12,1.13,-0.018,1,true,P296_PBO,0,1,0,0,0
295.3,32.31,0.117,-0.249,0.7,0.7,0,1,true,W078_GPS,0,1,0,0,0
244.657,32.356,-19.825,27.333,0.89,0.89,-0.058,16,true,P538_PBO,0,1,0,0,0
295.304,32.37,0.662,-0.271,0.435,0.386,-0.048,1,true,BAMF_GPS,0,1,0,0,0
244.925,32.559,-6.62,1.493,1.1,1.12,-0.02,1,true,P533_PBO,0,1,0,0,0
243.017,32.569,-28.147,30.114,1.05,1.19,-0.064,4,true,P536_PBO,0,1,0,0,0
