lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,
183.434,-43.956,0.205,3,"BRAE_GPS",-38.713,50.072,0.461,0.48,1,0,1,0,0,0,
210.394,-17.577,0.016,3,"MAUI_PBO",-66.958,47.557,0.7,0.6,1,0,1,0,0,0,
167.73,8.722,-0.103,3,"HANS_GPS",-69.881,44.642,0.559,0.534,1,0,1,0,0,0,
204.544,19.801,0.032,3,"JORD_GPS",-60.5,51.831,0.386,0.384,1,0,1,0,0,0,
203.743,20.707,-0.009,3,"P635_PBO",-59.69,53.128,0.6,0.7,1,0,1,0,0,0,
200.335,22.126,-0.002,3,"P551_PBO",-59.844,52.241,0.632,0.592,1,0,1,0,0,0,
279.616,25.614,0.009,1,"KELS_PBO",-0.335,0.412,0.342,0.335,1,0,1,0,0,0,
255.985,30.68,-0.046,1,"P193_PBO",-0.98,0.153,0.402,0.401,1,0,1,0,0,0,
244.534,31.045,-0.05,3,"P452_PBO",-32.751,30.337,1.04,1.05,1,0,1,0,0,0,
243.839,31.257,-0.065,3,"P136_PBO",-32.331,31.783,0.92,0.91,1,0,1,0,0,0,
246.48,31.354,-0.077,1,"P095_PBO",-2.985,1.997,0.83,0.81,1,0,1,0,0,0,
243.333,31.871,-0.056,25,"SNI1_PBO",-29.954,30.882,0.98,0.99,1,0,1,0,0,0,
244.757,31.988,0.093,4,"P450_PBO",-25.281,27.259,1.21,1.12,1,0,1,0,0,0,
243.442,32.245,-0.04,4,"SRS1_PBO",-28.561,29.428,1.08,1.1,1,0,1,0,0,0,
245.086,32.251,-0.018,1,"P296_PBO",-8.913,7.697,1.12,1.13,1,0,1,0,0,0,
295.3,32.31,0,1,"W078_GPS",0.117,-0.249,0.7,0.7,1,0,1,0,0,0,
244.657,32.356,-0.058,16,"P538_PBO",-19.825,27.333,0.89,0.89,1,0,1,0,0,0,
295.304,32.37,-0.048,1,"BAMF_GPS",0.662,-0.271,0.435,0.386,1,0,1,0,0,0,
244.925,32.559,-0.02,1,"P533_PBO",-6.62,1.493,1.1,1.12,1,0,1,0,0,0,
243.017,32.569,-0.064,4,"P536_PBO",-28.147,30.114,1.05,1.19,1,0,1,0,0,0,
243.159,32.601,-0.068,4,"P307_PBO",-26.763,29.209,1.48,1.21,1,0,1,0,0,0,
243.523,32.607,-0.061,4,"P535_PBO",-28.041,29.035,1.03,1.12,1,0,1,0,0,0,
243.83,32.617,-0.01,4,"JCT1_PBO",-27.898,26.957,0.3,0.3,1,0,1,0,0,0,
244.754,32.629,-0.04,1,"P388_PBO",-8.018,7.749,1.05,0.96,1,0,1,0,0,0,
252.805,32.659,-0.004,1,"RVAL_GPS",-1.574,0.945,0.4,0.7,1,0,1,0,0,0,
244.494,32.664,-0.025,16,"P300_PBO",-21.202,26.349,1.09,1.07,1,0,1,0,0,0,
244.7,32.69,-0.004,1,"FISH_GPS",-6.392,8.937,0.5,0.5,1,0,1,0,0,0,
244.968,32.706,-0.008,1,"GS04_GPS",-3.893,2.321,0.57,0.616,1,0,1,0,0,0,
244.938,32.709,-0.052,1,"P516_PBO",-4.012,2.552,1.05,0.99,1,0,1,0,0,0,
245.995,32.723,0.001,1,"HOLC_GNR",-3.287,0.106,0.7,0.7,1,0,1,0,0,0,
243.05,32.734,-0.01,4,"RG09_PBO",-29.096,27.375,0.3,0.3,1,0,1,0,0,0,
243.998,32.734,-0.061,4,"P532_PBO",-28.101,28.357,0.97,0.96,1,0,1,0,0,0,
244.5,32.738,-0.06,16,"ORES_PBO",-21.183,20.719,0.92,0.93,1,0,1,0,0,0,
244.404,32.751,-0.001,16,"SPRN_GPS",-23.391,28.044,0.5,0.9,1,0,1,0,0,0,
244.268,32.76,-0.001,16,"WES2_PBO",-22.791,26.547,0.6,0.5,1,0,1,0,0,0,
244.204,32.79,-0.052,16,"P283_PBO",-24.832,27.12,0.91,0.91,1,0,1,0,0,0,
244.406,32.8,-0.007,16,"P298_PBO",-17.154,22.102,1.32,1.16,1,0,1,0,0,0,
242.852,32.818,-0.031,4,"P540_PBO",-29.209,29.221,1.2,1.5,1,0,1,0,0,0,
243.381,32.824,-0.057,4,"P515_PBO",-27.291,28.431,0.95,1.03,1,0,1,0,0,0,
244.498,32.827,-0.059,21,"P310_PBO",-14.864,20.255,0.626,0.534,1,0,1,0,0,0,
244.493,32.829,-0.006,21,"WSTG_GPS",-14.864,20.255,0.626,0.534,1,0,1,0,0,0,
244.423,32.835,-0.002,16,"0614_GPS",-16.488,22.143,0.5,0.6,1,0,1,0,0,0,
242.747,32.84,-0.044,25,"TJRN_PBO",-28.26,30.155,1.11,1.09,1,0,1,0,0,0,
244.753,32.84,-0.067,1,"P141_PBO",-4.513,-0.321,0.92,0.88,1,0,1,0,0,0,
243.198,32.844,-0.075,4,"P539_PBO",-28.021,28.587,0.96,1.04,1,0,1,0,0,0,
242.75,32.865,-0.093,4,"P546_PBO",-28.394,28.615,0.73,0.76,1,0,1,0,0,0,
244.602,32.876,-0.006,1,"RITA_GPS",-4.686,6.439,0.4,0.4,1,0,1,0,0,0,
