Notebook,Status
celeri_wna_qp_coupling_09_sign_flip.ipynb,Success
celeri_anatolia_vis.ipynb,Failed
reference_map_projection_demonstration.ipynb,Success
celeri_check_input.ipynb,Failed
celeri_western_north_america_dense_qp_kl_methods.ipynb,Failed
celeri_dense.ipynb,Failed
celeri_western_north_america_iterative_constraints.ipynb,Failed
reference_classic_tde_slip_imaging.ipynb,Success
celeri_japan_qp_cmi_coupling_cg.ipynb,Failed
celeri_vis_post_run.ipynb,Success
benchmark_convex_solvers.ipynb,Failed
celeri_japan_dense.ipynb,Failed
celeri_western_north_america_dense.ipynb,Failed
celeri_western_north_america_methods.ipynb,Failed
reference_sparse_dense_estimator_uncertainties.ipynb,Success
celeri_japan_qp_cmi.ipynb,Success
celeri_western_north_america_eigen_clean.ipynb,Failed
reference_fault_slip_sense.ipynb,Failed
celeri_western_north_america_dense_tricoup.ipynb,Failed
reference_dense_and_hmatrix.ipynb,Failed
celeri_western_north_america_qp.ipynb,Success
reference_pygmt.ipynb,Failed
find_length_scale.ipynb,Failed
segment_meshing.ipynb,Failed
celeri_japan_qp_cmi_coupling.ipynb,Success
celeri_western_north_america_dense_experimental.ipynb,Failed
reference_fault_slip_sense_densegrid.ipynb,Failed
celeri_dense_new.ipynb,Failed
celeri_wna_qp_coupling_09.ipynb,Success
celeri_western_north_america_dense_experimental_resolution_test.ipynb,Failed
reference_segment_azimuths.ipynb,Success
celeri_japan_qp.ipynb,Success
ben_hmatrix_tests.ipynb,Failed
celeri_western_north_america_eigen.ipynb,Failed
reference_linear_operator_structure.ipynb,Success
celeri_japan_qp_cmi_coupling_linear_smoothing.ipynb,Success
celeri_hmatrix.ipynb,Failed
