name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,length,x1,y1,z1,x2,y2,z2,mid_lon_plate_carree,mid_lat_plate_carree,mid_lon,mid_lat,mid_x,mid_y,mid_z,centroid_x,centroid_y,centroid_z,centroid_lon,centroid_lat,west_labels,east_labels,model_strike_slip_rate,model_dip_slip_rate,model_tensile_slip_rate,model_strike_slip_rate_uncertainty,model_dip_slip_rate_uncertainty,model_tensile_slip_rate_uncertainty
2sw_hokka                   ,140.2720,42.7950,140.4010,42.5260,45.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,1.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,31698.6718,-3615778.1116,2991125.4996,4303913.1444,-3593454.1547,2986310.8177,4325897.1786,140.3365,42.6605,140.3366,42.6605,-3604627.1780,2988727.3702,4314918.6639,-3604627.1780,2988727.3702,0.0000,140.3366,42.6605,1,0,0.9065,10.6545,0.0000,0.8792,0.8792,0.8792
2sw_hokkba                  ,140.0760,43.2730,140.2720,42.7950,45.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,1.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,55452.9440,-3593454.1547,2986310.8177,4325897.1786,-3555416.1218,2975320.6663,4364726.1764,140.1740,43.0340,140.1744,43.0340,-3574468.6579,2980843.8397,4345353.2973,-3574468.6579,2980843.8397,0.0000,140.1744,43.0340,1,0,0.5491,9.2331,0.0000,0.8582,0.8582,0.8582
aleun                       ,197.4950,53.3520,204.2360,54.6170,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,463868.7005,-3624901.3638,-1142579.2394,5108713.5607,-3362037.1708,-1513499.2236,5191375.3114,200.8655,53.9845,200.8144,54.0318,-3495756.3714,-1328916.9843,5153447.2446,-3495756.3714,-1328916.9843,0.0000,200.8144,54.0318,2,3,-13.4505,0.0000,-61.1932,0.5553,0.5553,0.5553
alu_1                       ,164.0250,55.2350,171.7200,52.0860,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,0,1,0,0,617198.9626,-3490577.9974,999259.0587,5230841.0451,-3871869.5556,563464.4512,5023493.3481,167.8725,53.6605,168.0161,53.7225,-3685489.0402,782289.8659,5133180.7451,-3685489.0402,782289.8659,7.5000,168.0161,53.7225,3,2,-74.2319,0.0000,-10.2951,0.6575,0.6575,0.6575
alu_2a                      ,171.7200,52.0860,177.5180,50.7030,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,0,1,0,0,431733.1228,-3871869.5556,563464.4512,5023493.3481,-4028976.4208,174640.7737,4927595.8704,174.6190,51.3945,174.6627,51.4304,-3952666.4559,369270.1808,4978395.2116,-3952666.4559,369270.1808,7.5000,174.6627,51.4304,3,2,-68.1095,0.0000,-29.7332,0.6740,0.6740,0.6740
alu_2b                      ,177.5180,50.7030,179.4150,50.5160,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,0,1,0,0,135877.4432,-4028976.4208,174640.7737,4927595.8704,-4048609.6233,41338.4538,4914407.6664,178.4665,50.6095,178.4684,50.6134,-4039020.2971,107996.0506,4921280.6620,-4039020.2971,107996.0506,7.5000,178.4684,50.6134,3,2,-59.6900,0.0000,-43.0170,0.6694,0.6694,0.6694
alu_3a                      ,179.4150,50.5160,182.6050,50.4620,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,0,1,0,0,226443.5200,-4048609.6233,41338.4538,4914407.6664,-4049261.7766,-184229.9961,4910589.5608,181.0100,50.4890,181.0109,50.4999,-4049568.6374,-71456.7644,4913271.7454,-4049568.6374,-71456.7644,7.5000,181.0109,50.4999,3,2,-51.6440,0.0000,-51.3090,0.6569,0.6569,0.6569
alu_3b                      ,182.6050,50.4620,189.2760,51.3120,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,0,1,0,0,478674.4187,-4049261.7766,-184229.9961,4910589.5608,-3928109.9142,-641563.2570,4970181.1386,185.9405,50.8870,185.9101,50.9347,-3991472.1235,-413190.7882,4943862.3688,-3991472.1235,-413190.7882,7.5000,185.9101,50.9347,2,3,-33.5419,0.0000,-62.3690,0.6155,0.6155,0.6155
alu_4                       ,189.2760,51.3120,197.4950,53.3520,90.0000,100,0,0,0,0,0,0,0,0,0.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,0,1,0,0,604072.3108,-3928109.9142,-641563.2570,4970181.1386,-3624901.3638,-1142579.2394,5108713.5607,193.3855,52.3320,193.2908,52.4036,-3780702.5426,-893079.2017,5045101.5139,-3780702.5426,-893079.2017,0.0000,193.2908,52.4036,2,3,-14.4567,0.0000,-65.4419,0.5604,0.5604,0.5604
amur-okh                    ,139.8500,54.0250,142.3760,54.0960,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,165583.9702,-2957497.4051,2279553.7854,5157634.6420,-2859040.5273,2411802.9785,5153003.5045,141.1130,54.0605,141.1119,54.0671,-2908511.9455,2345874.1486,5155752.5351,-2908511.9455,2345874.1486,0.0000,141.1119,54.0671,4,5,-5.0854,0.0000,-0.7606,0.5833,0.5833,0.5833
