lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,depth,x,y,z,block_label,model_east_vel,model_north_vel,model_east_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate
88.3600,69.3620,0.0000,0,NRIL_GPS,1.2300,-7.1000,0.8200,0.8200,1,0,1,0,0,0,0.0000,64230.2882,2243365.4494,5958820.1342,4,3.7454,-10.2893,-3.1893,3.6887,-10.2509,-0.0729,0.0601,0.0162,-0.0216,0.0000,0.0000
106.0100,51.1700,-0.0060,0,UDUN_GEC,9.6300,-6.8300,1.1400,1.1500,1,0,1,0,0,0,0.0000,-1101141.7080,3837609.4791,4960301.5923,5,6.6105,-8.3494,-1.5194,6.5505,-8.3052,-0.1233,0.0903,0.0634,-0.0462,0.0000,0.0000
107.8200,22.3260,0.0020,0,F062_GPS,26.5830,-8.6560,1.7000,1.6000,1,0,1,0,0,0,0.0000,-1802540.9589,5607531.9425,2418839.1983,4,26.2251,-8.0180,0.6380,25.5225,-6.9436,-0.7293,1.0739,0.0266,0.0005,0.0000,0.0000
108.1690,23.7500,-0.0040,0,F059_GPS,26.8330,-9.4230,1.7000,1.7000,1,0,1,0,0,0,0.0000,-1817353.0015,5537606.6319,2564467.2585,12,26.6520,-9.2978,0.1252,26.1969,-8.4845,-0.4855,0.8134,0.0304,-0.0001,0.0000,0.0000
108.2960,23.1490,0.0000,0,F060_GPS,24.4800,-7.8110,1.8000,1.7000,1,0,1,0,0,0,0.0000,-1837966.7508,5558799.7973,2503192.8607,4,25.7194,-7.7662,0.0448,25.1742,-6.8510,-0.5742,0.9149,0.0289,0.0003,0.0000,0.0000
109.1060,33.6580,-0.0030,0,F054_GPS,21.2100,-8.1360,1.6000,1.6000,1,0,1,0,0,0,0.0000,-1734782.6502,5008057.2226,3529057.0232,4,20.5332,-6.8900,1.2460,20.5190,-6.6923,-0.0814,0.2109,0.0673,-0.0133,0.0000,0.0000
109.2600,22.4110,0.0380,0,F063_GPS,25.3110,-7.9220,1.7000,1.6000,1,0,1,0,0,0,0.0000,-1941703.7126,5557069.2982,2427574.7092,4,26.1147,-7.7621,0.1599,25.4239,-6.6620,-0.7184,1.0992,0.0277,0.0009,0.0000,0.0000
109.9230,33.8800,0.0150,0,D078_GPS,20.2470,-7.1620,1.6000,1.6000,1,0,1,0,0,0,0.0000,-1801342.4727,4969919.2658,3549566.0649,4,20.3637,-6.7208,0.4412,20.3609,-6.5310,-0.0743,0.2040,0.0716,-0.0142,0.0000,0.0000
109.9660,41.7550,0.0810,0,HB04_GUA,12.9800,-3.1200,1.7200,1.5500,1,0,1,0,0,0,0.0000,-1621983.9039,4464605.6865,4240379.1978,4,16.4178,-6.5985,-3.4785,16.4168,-6.5224,-0.0939,0.1156,0.0930,-0.0395,0.0000,0.0000
110.1410,22.6880,0.0110,0,F049_GPS,25.2420,-8.1420,1.7000,1.6000,1,0,1,0,0,0,0.0000,-2022853.4187,5515474.1266,2456005.0218,12,27.0909,-9.2609,-1.1189,26.4650,-8.1912,-0.6548,1.0686,0.0289,0.0011,0.0000,0.0000
